year;abbr;canton;age;sex;population
1991;ZH;Zurich;73;1;3026
1991;ZH;Zurich;74;1;2740
1991;ZH;Zurich;75;1;2666
1991;ZH;Zurich;76;1;2475
1991;ZH;Zurich;77;1;2686
1991;ZH;Zurich;78;1;2480
1991;ZH;Zurich;79;1;2289
1991;ZH;Zurich;80;1;1964
1991;ZH;Zurich;81;1;2031
1991;ZH;Zurich;82;1;1686
1991;ZH;Zurich;83;1;1550
1991;ZH;Zurich;84;1;1386
1991;ZH;Zurich;85;1;1170
1991;ZH;Zurich;86;1;908
1991;ZH;Zurich;87;1;779
1991;ZH;Zurich;88;1;600
1991;ZH;Zurich;89;1;488
1991;ZH;Zurich;90;1;388
1991;ZH;Zurich;91;1;265
1991;ZH;Zurich;92;1;202
1991;ZH;Zurich;93;1;140
1991;ZH;Zurich;94;1;94
1991;ZH;Zurich;95;1;64
1991;ZH;Zurich;96;1;39
1991;ZH;Zurich;97;1;34
1991;ZH;Zurich;98;1;9
1991;ZH;Zurich;99+;1;10
1991;ZH;Zurich;0;2;6222
1991;ZH;Zurich;1;2;6128
1991;ZH;Zurich;2;2;6012
1991;ZH;Zurich;3;2;5881
1991;ZH;Zurich;4;2;5840
1991;ZH;Zurich;5;2;5862
1991;ZH;Zurich;6;2;5852
1991;ZH;Zurich;7;2;5759
1991;ZH;Zurich;8;2;5627
1991;ZH;Zurich;9;2;5829
1991;ZH;Zurich;10;2;5602
1991;ZH;Zurich;11;2;5858
1991;ZH;Zurich;12;2;5497
1991;ZH;Zurich;13;2;5513
1991;ZH;Zurich;14;2;5318
1991;ZH;Zurich;15;2;5600
1991;ZH;Zurich;16;2;5507
1991;ZH;Zurich;17;2;5972
1991;ZH;Zurich;18;2;6181
1991;ZH;Zurich;19;2;6739
1991;ZH;Zurich;20;2;7296
1991;ZH;Zurich;21;2;7530
1991;ZH;Zurich;22;2;7825
1991;ZH;Zurich;23;2;8408
1991;ZH;Zurich;24;2;8912
1991;ZH;Zurich;25;2;9328
1991;ZH;Zurich;26;2;9738
1991;ZH;Zurich;27;2;9971
1991;ZH;Zurich;28;2;10095
1991;ZH;Zurich;29;2;9922
1991;ZH;Zurich;30;2;9758
1991;ZH;Zurich;31;2;9711
1991;ZH;Zurich;32;2;9510
1991;ZH;Zurich;33;2;9101
1991;ZH;Zurich;34;2;9135
1991;ZH;Zurich;35;2;9183
1991;ZH;Zurich;36;2;9019
1991;ZH;Zurich;37;2;8784
1991;ZH;Zurich;38;2;8820
1991;ZH;Zurich;39;2;8994
1991;ZH;Zurich;40;2;8784
1991;ZH;Zurich;41;2;8973
1991;ZH;Zurich;42;2;8996
1991;ZH;Zurich;43;2;9174
1991;ZH;Zurich;44;2;9063
1991;ZH;Zurich;45;2;9169
1991;ZH;Zurich;46;2;9028
1991;ZH;Zurich;47;2;9074
1991;ZH;Zurich;48;2;8899
1991;ZH;Zurich;49;2;8434
1991;ZH;Zurich;50;2;8187
1991;ZH;Zurich;51;2;7688
1991;ZH;Zurich;52;2;7469
1991;ZH;Zurich;53;2;7439
1991;ZH;Zurich;54;2;6895
1991;ZH;Zurich;55;2;7196
1991;ZH;Zurich;56;2;7064
1991;ZH;Zurich;57;2;6811
1991;ZH;Zurich;58;2;6552
1991;ZH;Zurich;59;2;6314
1991;ZH;Zurich;60;2;6402
1991;ZH;Zurich;61;2;6520
